timestamp,motor_angle_raw,output_angle,error,p_torque,d_torque,total_torque
0.0202,218.70,-3.56,3.56,0.1425,0.8904,1.0329
0.0404,218.70,-3.56,3.56,0.1425,0.0000,0.1425
0.0810,220.89,-3.20,3.20,0.1279,-0.0912,0.0366
0.1216,229.45,-1.77,1.77,0.0708,-0.3567,-0.2859
0.1419,244.52,0.74,-0.74,-0.0297,-0.6279,-0.6576
0.1824,265.97,4.32,-4.32,-0.1727,-0.8938,-1.0664
0.2027,293.79,8.95,-8.95,-0.3581,-1.1592,-1.5173
0.2434,322.75,13.78,-13.78,-0.5512,-1.2067,-1.7579
0.2845,340.03,16.66,-16.66,-0.6664,-0.7200,-1.3864
0.3046,342.98,17.15,-17.15,-0.6861,-0.1229,-0.8090
0.3452,336.99,16.15,-16.15,-0.6461,0.2496,-0.3965
0.3860,324.95,14.15,-14.15,-0.5659,0.5017,-0.0642
0.4063,306.88,11.13,-11.13,-0.4454,0.7529,0.3075
0.4473,282.40,7.05,-7.05,-0.2822,1.0200,0.7378
0.4676,251.78,1.95,-1.95,-0.0781,1.2758,1.1978
0.5079,215.77,-4.05,4.05,0.1620,1.5004,1.6624
0.5487,173.61,-11.08,11.08,0.4431,1.7567,2.1997
0.5691,126.47,-18.93,18.93,0.7573,1.9642,2.7215
0.6097,73.12,-27.82,27.82,1.1130,2.2229,3.3359
0.6300,13.95,-37.69,37.69,1.5075,2.4654,3.9729
0.6702,2110.40,311.72,-311.72,-12.4689,-87.3521,-99.8210
0.7105,2046.42,301.06,-301.06,-12.0423,2.6658,-9.3765
0.7309,1993.76,292.28,-292.28,-11.6913,2.1942,-9.4971
0.7713,1957.20,286.19,-286.19,-11.4475,1.5233,-9.9242
0.8120,1936.36,282.71,-282.71,-11.3086,0.8683,-10.4403
0.8323,1930.60,281.75,-281.75,-11.2702,0.2400,-11.0302
0.8729,1935.08,282.50,-282.50,-11.3001,-0.1867,-11.4867
0.8931,1946.27,284.37,-284.37,-11.3747,-0.4663,-11.8409
0.9336,1963.95,287.31,-287.31,-11.4925,-0.7367,-12.2292
0.9746,1988.27,291.37,-291.37,-11.6547,-1.0133,-12.6680
0.9950,2019.27,296.53,-296.53,-11.8613,-1.2917,-13.1530
1.0356,2057.87,302.97,-302.97,-12.1187,-1.6083,-13.7270
1.0765,2101.78,310.29,-310.29,-12.4114,-1.8296,-14.2410
1.0969,2152.80,318.79,-318.79,-12.7515,-2.1258,-14.8774
1.1377,45.82,-32.38,32.38,1.2950,87.7908,89.0858
1.1580,88.54,-25.25,25.25,1.0102,-1.7800,-0.7698
1.1988,117.35,-20.45,20.45,0.8181,-1.2004,-0.3823
1.2397,131.33,-18.12,18.12,0.7249,-0.5825,0.1424
1.2602,132.53,-17.92,17.92,0.7169,-0.0500,0.6669
1.3011,126.21,-18.98,18.98,0.7591,0.2633,1.0224
1.3216,113.81,-21.04,21.04,0.8417,0.5167,1.3584
1.3622,96.04,-24.00,24.00,0.9602,0.7404,1.7006
1.4027,72.57,-27.92,27.92,1.1167,0.9779,2.0946
1.4229,43.54,-32.76,32.76,1.3102,1.2096,2.5198
1.4635,9.31,-38.46,38.46,1.5384,1.4262,2.9646
1.5042,2129.37,314.88,-314.88,-12.5953,-88.3358,-100.9312
1.5247,2084.77,307.45,-307.45,-12.2980,1.8583,-10.4397
1.5650,2033.02,298.82,-298.82,-11.9530,2.1562,-9.7967
1.5854,1976.89,289.47,-289.47,-11.5788,2.3387,-9.2401
1.6260,1915.40,279.22,-279.22,-11.1689,2.5621,-8.6068
1.6668,1848.86,268.13,-268.13,-10.7253,2.7725,-7.9528
1.6870,1778.23,256.36,-256.36,-10.2544,2.9429,-7.3115
1.7276,1701.72,243.61,-243.61,-9.7443,3.1879,-6.5564
1.7480,1620.62,230.09,-230.09,-9.2037,3.3792,-5.8245
1.7887,1534.52,215.74,-215.74,-8.6297,3.5875,-5.0422
1.8292,1442.66,200.43,-200.43,-8.0173,3.8275,-4.1898
1.8495,1346.63,184.43,-184.43,-7.3771,4.0012,-3.3758
1.8901,1251.02,168.49,-168.49,-6.7397,3.9838,-2.7559
1.9305,1163.56,153.91,-153.91,-6.1566,3.6442,-2.5124
1.9506,1069.45,138.23,-138.23,-5.5292,3.9212,-1.6080
1.9910,972.37,122.05,-122.05,-4.8820,4.0450,-0.8370
2.0113,867.61,104.59,-104.59,-4.1836,4.3650,0.1814
2.0519,762.65,87.10,-87.10,-3.4839,4.3733,0.8895
2.0925,669.08,71.50,-71.50,-2.8601,3.8987,1.0387
2.1129,591.12,58.51,-58.51,-2.3403,3.2483,0.9080
2.1536,527.03,47.83,-47.83,-1.9131,2.6704,0.7574
2.1944,478.05,39.66,-39.66,-1.5865,2.0408,0.4543
2.2145,443.90,33.97,-33.97,-1.3589,1.4229,0.0641
2.2548,424.36,30.72,-30.72,-1.2286,0.8142,-0.4144
2.2751,419.51,29.91,-29.91,-1.1963,0.2021,-0.9942
2.3159,425.19,30.85,-30.85,-1.2341,-0.2367,-1.4708
2.3566,437.05,32.83,-32.83,-1.3132,-0.4942,-1.8074
2.3767,454.38,35.72,-35.72,-1.4287,-0.7221,-2.1508
2.4170,477.61,39.59,-39.59,-1.5836,-0.9679,-2.5515
2.4373,506.96,44.48,-44.48,-1.7793,-1.2229,-3.0022
2.4780,537.02,49.49,-49.49,-1.9797,-1.2525,-3.2322
2.5186,554.87,52.47,-52.47,-2.0987,-0.7438,-2.8424
2.5392,558.97,53.15,-53.15,-2.1260,-0.1708,-2.2968
2.5801,553.46,52.23,-52.23,-2.0893,0.2296,-1.8597
2.6208,541.96,50.32,-50.32,-2.0126,0.4792,-1.5334
2.6409,523.83,47.29,-47.29,-1.8917,0.7554,-1.1363
2.6815,499.04,43.16,-43.16,-1.7265,1.0329,-0.6935
2.7020,467.63,37.93,-37.93,-1.5171,1.3087,-0.2083
2.7427,429.88,31.64,-31.64,-1.2654,1.5729,0.3075
2.7830,385.86,24.30,-24.30,-0.9719,1.8342,0.8622
2.8035,336.74,16.11,-16.11,-0.6445,2.0467,1.4022
2.8442,280.77,6.78,-6.78,-0.2713,2.3321,2.0608
2.8851,219.83,-3.37,3.37,0.1349,2.5392,2.6741
2.9052,152.70,-14.56,14.56,0.5825,2.7971,3.3796
2.9460,80.34,-26.62,26.62,1.0649,3.0150,4.0799
2.9665,3.65,-39.40,39.40,1.5761,3.1954,4.7715
3.0070,2081.23,306.86,-306.86,-12.2744,-86.5658,-98.8402
