Timestamp,Output Angle [deg],Angular Velocity [dps],Gravity Torque [Nm],Friction Torque [Nm],Damping Torque [Nm],Target Torque [Nm],Applied Torque [Nm],Is Holding
1752828745.7409992,-40.01166666666666,0.0,-0.4730457387399679,0.0,-0.0,-0.4730457387399679,-0.3311320171179775,False
1752828745.752139,175.99931982909894,-4.224662873400034e-05,0.0,0.0,0.0,0.0,0.0,True
1752828745.763474,175.99931982909894,-0.0009237457580276912,0.0,0.0,0.0,0.0,0.0,True
1752828745.774341,175.9718535896849,-0.0033875620223306822,0.0,0.0,0.0,0.0,0.0,True
1752828745.785398,175.94438735027086,-0.008154670040826052,0.0,0.0,0.0,0.0,0.0,True
1752828745.7965739,175.9718535896849,-0.015941219153532128,0.0,0.0,0.0,0.0,0.0,True
1752828745.8074114,175.9773468375677,-0.027319226896052925,0.0,0.0,0.0,0.0,0.0,True
1752828745.8187158,175.9773468375677,-0.04300851680718344,0.0,0.0,0.0,0.0,0.0,True
1752828745.8296623,175.9773468375677,-0.06369503295394302,0.0,0.0,0.0,0.0,0.0,True
1752828745.8407762,175.9773468375677,-0.089834857261974,0.0,0.0,0.0,0.0,0.0,True
1752828745.8522246,175.98284008545053,-0.12207224724877956,0.0,0.0,0.0,0.0,0.0,True
1752828745.8630466,175.98833333333334,-0.16098671839064918,0.0,0.0,0.0,0.0,0.0,True
1752828745.8739922,175.98833333333334,-0.20693601737766396,0.0,0.0,0.0,0.0,0.0,True
1752828745.8848155,175.98833333333334,-0.2602841941218761,0.0,0.0,0.0,0.0,0.0,True
1752828745.8962612,175.98833333333334,-0.32177819745381014,0.0,0.0,0.0,0.0,0.0,True
1752828745.9072614,175.98833333333334,-0.3918005440485819,0.0,0.0,0.0,0.0,0.0,True
1752828745.918162,175.98833333333334,-0.47055580785549295,0.0,0.0,0.0,0.0,0.0,True
1752828745.9291196,175.98833333333334,-0.5583101680330166,0.0,0.0,0.0,0.0,0.0,True
1752828745.940335,175.98833333333334,-0.6558794605060417,0.0,0.0,0.0,0.0,0.0,True
1752828745.9515877,175.98833333333334,-0.7631183151150529,0.0,0.0,0.0,0.0,0.0,True
1752828745.9629474,175.98833333333334,-0.8811344186848868,0.0,0.0,0.0,0.0,0.0,True
1752828745.9739742,175.98833333333334,-1.0093388511947083,0.0,0.0,0.0,0.0,0.0,True
1752828745.9851332,175.98833333333334,-1.1484293176304246,0.0,0.0,0.0,0.0,0.0,True
1752828745.9965467,175.98833333333334,-1.2987687723783239,0.0,0.0,0.0,0.0,0.0,True
1752828746.0074434,175.98833333333334,-1.4600827155784109,0.0,0.0,0.0,0.0,0.0,True
1752828746.0186157,175.98833333333334,-1.6327685151321054,0.0,0.0,0.0,0.0,0.0,True
1752828746.0299098,175.98833333333334,-1.8171489268278058,0.0,0.0,0.0,0.0,0.0,True
1752828746.0409343,175.98833333333334,-2.012828865679871,0.0,0.0,0.0,0.0,0.0,True
1752828746.0519128,175.98833333333334,-2.2200603475328413,0.0,0.0,0.0,0.0,0.0,True
1752828746.0628662,175.98833333333334,-2.4387188760934984,0.0,0.0,0.0,0.0,0.0,True
1752828746.0738826,175.98833333333334,-2.6689873214799866,0.0,0.0,0.0,0.0,0.0,True
1752828746.084934,175.99382658121615,-2.91098041313632,0.0,0.0,0.0,0.0,0.0,True
1752828746.0961938,175.99382658121615,-3.164412789927789,0.0,0.0,0.0,0.0,0.0,True
1752828746.107658,175.99382658121615,-3.430264742227324,0.0,0.0,0.0,0.0,0.0,True
1752828746.1185095,175.99382658121615,-3.707646190104363,0.0,0.0,0.0,0.0,0.0,True
1752828746.1295714,175.99382658121615,-3.996474664472955,0.0,0.0,0.0,0.0,0.0,True
1752828746.1404173,175.99382658121615,-4.296505345088648,0.0,0.0,0.0,0.0,0.0,True
1752828746.1515713,175.99382658121615,-4.607618526623928,0.0,0.0,0.0,0.0,0.0,True
1752828746.1630836,175.99382658121615,-4.930675402224043,0.0,0.0,0.0,0.0,0.0,True
1752828746.1739507,175.99382658121615,-5.264757719482195,0.0,0.0,0.0,0.0,0.0,True
1752828746.1849494,175.99382658121615,-5.609347993567851,0.0,0.0,0.0,0.0,0.0,True
1752828746.1959887,175.99382658121615,-5.9647822418554,0.0,0.0,0.0,0.0,0.0,True
1752828746.2069836,175.99382658121615,-6.330566922919382,0.0,0.0,0.0,0.0,0.0,True
1752828746.2185223,175.99382658121615,-6.707000164232613,0.0,0.0,0.0,0.0,0.0,True
1752828746.2296956,175.99382658121615,-7.093574732771862,0.0,0.0,0.0,0.0,0.0,True
1752828746.2405596,175.99382658121615,-7.4895439528648575,0.0,0.0,0.0,0.0,0.0,True
1752828746.2515936,175.99382658121615,-7.894543893040611,0.0,0.0,0.0,0.0,0.0,True
1752828746.26265,175.99382658121615,-8.308780484618946,0.0,0.0,0.0,0.0,0.0,True
1752828746.2738974,175.99382658121615,-8.731901224905894,0.0,0.0,0.0,0.0,0.0,True
1752828746.2847862,175.99382658121615,-9.163362964396205,0.0,0.0,0.0,0.0,0.0,True
1752828746.2958093,175.99382658121615,-9.602676880378961,0.0,0.0,0.0,0.0,0.0,True
1752828746.306724,175.99382658121615,-10.04978226871663,0.0,0.0,0.0,0.0,0.0,True
1752828746.3179123,175.99382658121615,-10.504243583075427,0.0,0.0,0.0,0.0,0.0,True
1752828746.3290944,175.99382658121615,-10.965681288532743,0.0,0.0,0.0,0.0,0.0,True
1752828746.3400254,175.99382658121615,-11.433599551218853,0.0,0.0,0.0,0.0,0.0,True
1752828746.351263,175.99382658121615,-11.90778673520622,0.0,0.0,0.0,0.0,0.0,True
1752828746.3624368,175.99382658121615,-12.387976715053002,0.0,0.0,0.0,0.0,0.0,True
1752828746.3734853,175.99382658121615,-12.87379377302402,0.0,0.0,0.0,0.0,0.0,True
1752828746.3848772,175.99382658121615,-13.364671520725087,0.0,0.0,0.0,0.0,0.0,True
1752828746.395973,175.99382658121615,-13.860095771421015,0.0,0.0,0.0,0.0,0.0,True
1752828746.4069142,175.99382658121615,-14.359619433075599,0.0,0.0,0.0,0.0,0.0,True
1752828746.418342,175.99382658121615,-14.862977268302949,0.0,0.0,0.0,0.0,0.0,True
1752828746.4296553,175.99382658121615,-15.369746460172857,0.0,0.0,0.0,0.0,0.0,True
1752828746.4405916,175.99382658121615,-15.878969060294837,0.0,0.0,0.0,0.0,0.0,True
1752828746.4518192,175.99382658121615,-16.390743827010034,0.0,0.0,0.0,0.0,0.0,True
1752828746.4630523,175.99382658121615,-16.90438979868497,0.0,0.0,0.0,0.0,0.0,True
1752828746.4739954,175.99382658121615,-17.41925276121092,0.0,0.0,0.0,0.0,0.0,True
